target,numReplicas,numThreads,numOps,readsRatio,distribution,throughput,latency
wgla,3,250,1000,0.5,-1.0,27330.00,34.44
jpaxos,3,250,1000,0.5,-1.0,24502.70,31.16
wgla,3,250,1000,0.5,-1.0,26898.80,31.05
jpaxos,3,250,1000,0.5,-1.0,26063.50,29.71
wgla,3,250,1000,0.5,-1.0,27233.40,30.98
jpaxos,3,250,1000,0.5,-1.0,23024.00,33.96
wgla,3,5,1000,0.5,-1.0,2750.04,5.47
wgla,3,5,1000,0.5,-1.0,2785.98,5.39
wgla,3,5,1000,0.5,-1.0,2788.20,5.38
wgla,3,5,1000,0.5,-1.0,2795.70,5.37
wgla,3,5,1000,0.5,-1.0,2788.56,5.38
wgla,3,10,1000,0.5,-1.0,5270.88,5.70
wgla,3,10,1000,0.5,-1.0,5441.94,5.51
wgla,3,10,1000,0.5,-1.0,5406.54,5.55
wgla,3,10,1000,0.5,-1.0,5284.44,5.69
wgla,3,10,1000,0.5,-1.0,5310.36,5.66
wgla,3,30,1000,0.5,-1.0,13550.46,6.71
wgla,3,30,1000,0.5,-1.0,13500.96,6.71
wgla,3,30,1000,0.5,-1.0,13413.72,6.77
wgla,3,30,1000,0.5,-1.0,13216.86,6.86
wgla,3,30,1000,0.5,-1.0,13672.80,6.63
wgla,3,50,1000,0.5,-1.0,17146.68,8.88
wgla,3,50,1000,0.5,-1.0,17750.46,8.60
wgla,3,50,1000,0.5,-1.0,17855.16,8.56
wgla,3,50,1000,0.5,-1.0,17852.70,8.54
wgla,3,50,1000,0.5,-1.0,18074.10,8.44
wgla,3,70,1000,0.5,-1.0,18565.62,11.51
wgla,3,70,1000,0.5,-1.0,17875.74,12.16
wgla,3,70,1000,0.5,-1.0,17336.46,12.35
wgla,3,70,1000,0.5,-1.0,18143.46,11.91
wgla,3,70,1000,0.5,-1.0,17934.66,12.27
wgla,3,100,1000,0.5,-1.0,18762.78,16.52
wgla,3,100,1000,0.5,-1.0,18818.28,16.37
wgla,3,100,1000,0.5,-1.0,17324.76,18.14
