target,numReplicas,numThreads,numOps,readsRatio,distribution,throughput,latency
wgla,3,5,1000,0.5,-1.0,2787.80,5.38
wgla,3,5,1000,0.5,-1.0,2802.30,5.35
wgla,3,5,1000,0.5,-1.0,2737.00,5.50
wgla,3,5,1000,0.5,-1.0,2824.70,5.31
wgla,3,5,1000,0.5,-1.0,2523.30,6.06
jpaxos,3,5,1000,0.5,-1.0,453.10,33.19
jpaxos,3,5,1000,0.5,-1.0,466.20,32.23
jpaxos,3,5,1000,0.5,-1.0,470.80,31.92
jpaxos,3,5,1000,0.5,-1.0,463.20,32.42
jpaxos,3,5,1000,0.5,-1.0,481.20,31.17
wgla,3,10,1000,0.5,-1.0,5294.00,5.67
wgla,3,10,1000,0.5,-1.0,5423.00,5.54
wgla,3,10,1000,0.5,-1.0,5386.10,5.58
wgla,3,10,1000,0.5,-1.0,5168.10,5.87
wgla,3,10,1000,0.5,-1.0,5384.40,5.59
jpaxos,3,10,1000,0.5,-1.0,945.60,31.75
jpaxos,3,10,1000,0.5,-1.0,945.10,31.77
jpaxos,3,10,1000,0.5,-1.0,925.00,32.56
jpaxos,3,10,1000,0.5,-1.0,925.80,32.48
jpaxos,3,10,1000,0.5,-1.0,932.10,32.20
wgla,3,30,1000,0.5,-1.0,14071.90,6.47
wgla,3,30,1000,0.5,-1.0,14189.10,6.38
wgla,3,30,1000,0.5,-1.0,13733.10,6.61
wgla,3,30,1000,0.5,-1.0,13620.30,6.74
wgla,3,30,1000,0.5,-1.0,13396.30,6.94
jpaxos,3,30,1000,0.5,-1.0,5813.30,16.39
jpaxos,3,30,1000,0.5,-1.0,5821.30,15.88
jpaxos,3,30,1000,0.5,-1.0,6676.40,13.59
jpaxos,3,30,1000,0.5,-1.0,5326.70,17.29
jpaxos,3,30,1000,0.5,-1.0,5556.80,16.52
wgla,3,50,1000,0.5,-1.0,19956.90,7.67
wgla,3,50,1000,0.5,-1.0,19634.10,7.80
wgla,3,50,1000,0.5,-1.0,18531.50,8.35
wgla,3,50,1000,0.5,-1.0,19582.50,7.88
wgla,3,50,1000,0.5,-1.0,19065.90,8.05
jpaxos,3,50,1000,0.5,-1.0,10752.40,14.11
jpaxos,3,50,1000,0.5,-1.0,9893.00,15.50
jpaxos,3,50,1000,0.5,-1.0,9440.10,16.23
jpaxos,3,50,1000,0.5,-1.0,9777.30,15.48
jpaxos,3,50,1000,0.5,-1.0,11335.70,13.44
wgla,3,70,1000,0.5,-1.0,21894.10,9.96
wgla,3,70,1000,0.5,-1.0,21779.70,9.91
wgla,3,70,1000,0.5,-1.0,21084.00,10.24
wgla,3,70,1000,0.5,-1.0,22269.80,9.72
jpaxos,3,70,1000,0.5,-1.0,12215.40,17.40
jpaxos,3,70,1000,0.5,-1.0,11691.20,18.35
