target,numReplicas,numThreads,numOps,readsRatio,distribution,throughput,latency
wgla,3,5,1000,0.5,-1.0,2787.80,5.38
wgla,3,5,1000,0.5,-1.0,2802.30,5.35
wgla,3,5,1000,0.5,-1.0,2737.00,5.50
wgla,3,5,1000,0.5,-1.0,2824.70,5.31
wgla,3,5,1000,0.5,-1.0,2523.30,6.06
jpaxos,3,5,1000,0.5,-1.0,453.10,33.19
jpaxos,3,5,1000,0.5,-1.0,466.20,32.23
jpaxos,3,5,1000,0.5,-1.0,470.80,31.92
jpaxos,3,5,1000,0.5,-1.0,463.20,32.42
jpaxos,3,5,1000,0.5,-1.0,481.20,31.17
wgla,3,10,1000,0.5,-1.0,5294.00,5.67
wgla,3,10,1000,0.5,-1.0,5423.00,5.54
wgla,3,10,1000,0.5,-1.0,5386.10,5.58
wgla,3,10,1000,0.5,-1.0,5168.10,5.87
wgla,3,10,1000,0.5,-1.0,5384.40,5.59
jpaxos,3,10,1000,0.5,-1.0,945.60,31.75
jpaxos,3,10,1000,0.5,-1.0,945.10,31.77
jpaxos,3,10,1000,0.5,-1.0,925.00,32.56
jpaxos,3,10,1000,0.5,-1.0,925.80,32.48
jpaxos,3,10,1000,0.5,-1.0,932.10,32.20
wgla,3,30,1000,0.5,-1.0,14071.90,6.47
wgla,3,30,1000,0.5,-1.0,14189.10,6.38
wgla,3,30,1000,0.5,-1.0,13733.10,6.61
wgla,3,30,1000,0.5,-1.0,13620.30,6.74
wgla,3,30,1000,0.5,-1.0,13396.30,6.94
jpaxos,3,30,1000,0.5,-1.0,5813.30,16.39
jpaxos,3,30,1000,0.5,-1.0,5821.30,15.88
jpaxos,3,30,1000,0.5,-1.0,6676.40,13.59
jpaxos,3,30,1000,0.5,-1.0,5326.70,17.29
jpaxos,3,30,1000,0.5,-1.0,5556.80,16.52
wgla,3,50,1000,0.5,-1.0,19956.90,7.67
wgla,3,50,1000,0.5,-1.0,19634.10,7.80
wgla,3,50,1000,0.5,-1.0,18531.50,8.35
wgla,3,50,1000,0.5,-1.0,19582.50,7.88
wgla,3,50,1000,0.5,-1.0,19065.90,8.05
jpaxos,3,50,1000,0.5,-1.0,10752.40,14.11
jpaxos,3,50,1000,0.5,-1.0,9893.00,15.50
jpaxos,3,50,1000,0.5,-1.0,9440.10,16.23
jpaxos,3,50,1000,0.5,-1.0,9777.30,15.48
jpaxos,3,50,1000,0.5,-1.0,11335.70,13.44
wgla,3,70,1000,0.5,-1.0,21894.10,9.96
wgla,3,70,1000,0.5,-1.0,21779.70,9.91
wgla,3,70,1000,0.5,-1.0,21084.00,10.24
wgla,3,70,1000,0.5,-1.0,22269.80,9.72
jpaxos,3,70,1000,0.5,-1.0,12215.40,17.40
jpaxos,3,70,1000,0.5,-1.0,11691.20,18.35
jpaxos,3,70,1000,0.5,-1.0,12584.20,17.26
jpaxos,3,70,1000,0.5,-1.0,13886.10,15.26
wgla,3,100,1000,0.5,-1.0,23239.00,13.52
wgla,3,100,1000,0.5,-1.0,24587.30,12.83
wgla,3,100,1000,0.5,-1.0,24783.70,12.55
wgla,3,100,1000,0.5,-1.0,22488.60,13.96
wgla,3,100,1000,0.5,-1.0,25913.60,12.03
jpaxos,3,100,1000,0.5,-1.0,17861.60,17.29
jpaxos,3,100,1000,0.5,-1.0,18153.30,16.89
jpaxos,3,100,1000,0.5,-1.0,17665.20,17.29
jpaxos,3,100,1000,0.5,-1.0,17105.10,17.87
wgla,3,130,1000,0.5,-1.0,25405.10,16.63
wgla,3,130,1000,0.5,-1.0,25771.20,16.28
jpaxos,3,130,1000,0.5,-1.0,21701.30,18.42
jpaxos,3,130,1000,0.5,-1.0,22016.30,17.99
jpaxos,3,150,1000,0.5,-1.0,22121.00,20.52
jpaxos,3,150,1000,0.5,-1.0,22640.70,20.07
jpaxos,3,150,1000,0.5,-1.0,24766.30,18.45
jpaxos,3,150,1000,0.5,-1.0,23328.20,19.45
jpaxos,3,150,1000,0.5,-1.0,20456.90,22.40
wgla,3,150,1000,0.5,-1.0,25916.90,18.88
wgla,3,150,1000,0.5,-1.0,25955.80,18.31
wgla,3,170,1000,0.5,-1.0,26030.60,21.16
wgla,3,170,1000,0.5,-1.0,26291.30,20.81
wgla,3,170,1000,0.5,-1.0,26345.40,20.86
wgla,3,170,1000,0.5,-1.0,26548.50,20.50
jpaxos,3,170,1000,0.5,-1.0,24665.90,21.13
jpaxos,3,170,1000,0.5,-1.0,15814.30,32.67
jpaxos,3,170,1000,0.5,-1.0,13577.40,38.20
jpaxos,3,170,1000,0.5,-1.0,12933.40,39.63
jpaxos,3,170,1000,0.5,-1.0,14255.00,36.71
wgla,3,200,1000,0.5,-1.0,28126.80,23.11
wgla,3,200,1000,0.5,-1.0,26891.70,24.60
wgla,3,200,1000,0.5,-1.0,28150.60,22.73
wgla,3,200,1000,0.5,-1.0,26610.20,25.05
wgla,3,200,1000,0.5,-1.0,27451.40,23.38
jpaxos,3,200,1000,0.5,-1.0,21981.90,27.89
jpaxos,3,200,1000,0.5,-1.0,19438.10,30.96
jpaxos,3,200,1000,0.5,-1.0,21981.90,27.89
jpaxos,3,200,1000,0.5,-1.0,19438.10,30.96
wgla,3,220,1000,0.5,-1.0,24544.30,61.00
wgla,3,210,1000,0.5,-1.0,25034.60,50.85
jpaxos,3,220,1000,0.5,-1.0,10215.60,64.86
jpaxos,3,230,1000,0.5,-1.0,6517.60,111.02
wgla,3,230,1000,0.5,-1.0,25887.10,43.12
jpaxos,3,230,1000,0.5,-1.0,21851.30,32.28
wgla,3,250,1000,0.5,-1.0,24999.00,70.58
jpaxos,3,230,1000,0.5,-1.0,22499.10,31.19
wgla,3,250,1000,0.5,-1.0,28852.30,55.62
jpaxos,3,230,1000,0.5,-1.0,20188.10,34.71
jpaxos,3,230,1000,0.5,-1.0,21122.00,34.26
jpaxos,3,230,1000,0.5,-1.0,16864.70,41.37
wgla,3,230,1000,0.5,-1.0,25482.30,64.83
wgla,3,230,1000,0.5,-1.0,31409.00,36.08
wgla,3,230,1000,0.5,-1.0,26874.50,46.51
jpaxos,3,250,1000,0.5,-1.0,15134.50,49.79
jpaxos,3,250,1000,0.5,-1.0,12869.70,64.06
wgla,3,250,1000,0.5,-1.0,27897.10,59.40
