target,numReplicas,numThreads,numOps,readsRatio,distribution,throughput,latency
wgla,3,2,1000,0.5,-1.0,3058.83,3.27
wgla,3,2,1000,0.5,-1.0,4434.00,2.27
wgla,3,2,1000,0.5,-1.0,4375.00,2.31
wgla,3,2,1000,0.5,-1.0,4151.67,2.41
wgla,3,2,1000,0.5,-1.0,4553.17,2.21
jpaxos,3,2,1000,0.5,-1.0,248.67,40.21
jpaxos,3,2,1000,0.5,-1.0,319.33,31.32
jpaxos,3,2,1000,0.5,-1.0,318.00,31.45
jpaxos,3,2,1000,0.5,-1.0,294.17,34.26
jpaxos,3,2,1000,0.5,-1.0,318.67,31.38
wgla,3,5,1000,0.5,-1.0,8012.50,3.24
wgla,3,5,1000,0.5,-1.0,9569.17,2.62
wgla,3,5,1000,0.5,-1.0,9470.83,2.65
wgla,3,5,1000,0.5,-1.0,7909.50,4.72
wgla,3,5,1000,0.5,-1.0,8653.17,2.92
jpaxos,3,5,1000,0.5,-1.0,714.00,35.31
jpaxos,3,5,1000,0.5,-1.0,703.33,35.92
jpaxos,3,5,1000,0.5,-1.0,705.17,35.86
jpaxos,3,5,1000,0.5,-1.0,763.83,33.03
jpaxos,3,5,1000,0.5,-1.0,701.50,36.05
wgla,3,10,1000,0.5,-1.0,13220.00,7.18
wgla,3,10,1000,0.5,-1.0,14196.17,3.61
wgla,3,10,1000,0.5,-1.0,14221.17,6.22
jpaxos,3,10,1000,0.5,-1.0,3370.17,15.35
jpaxos,3,10,1000,0.5,-1.0,2140.00,24.69
jpaxos,3,10,1000,0.5,-1.0,3179.67,15.76
jpaxos,3,10,1000,0.5,-1.0,2811.17,18.74
jpaxos,3,10,1000,0.5,-1.0,2823.50,18.26
wgla,3,20,1000,0.5,-1.0,19683.33,7.39
wgla,3,20,1000,0.5,-1.0,18228.83,9.98
wgla,3,20,1000,0.5,-1.0,17988.17,10.13
wgla,3,20,1000,0.5,-1.0,18052.33,7.65
wgla,3,20,1000,0.5,-1.0,20708.00,5.37
wgla,3,20,1000,0.5,-1.0,18985.50,5.93
jpaxos,3,20,1000,0.5,-1.0,1114.33,91.11
jpaxos,3,20,1000,0.5,-1.0,1372.17,74.78
jpaxos,3,20,1000,0.5,-1.0,1717.17,58.92
wgla,3,30,1000,0.5,-1.0,27083.50,10.14
wgla,3,30,1000,0.5,-1.0,27083.50,10.14
wgla,3,30,1000,0.5,-1.0,27060.33,5.70
wgla,3,30,1000,0.5,-1.0,25823.67,6.32
wgla,3,30,1000,0.5,-1.0,26959.50,5.59
wgla,3,30,1000,0.5,-1.0,26861.83,5.62
jpaxos,3,30,1000,0.5,-1.0,10055.50,15.09
jpaxos,3,30,1000,0.5,-1.0,6593.83,22.85
jpaxos,3,30,1000,0.5,-1.0,4922.67,32.81
jpaxos,3,30,1000,0.5,-1.0,4785.50,31.82
wgla,3,50,1000,0.5,-1.0,31152.17,8.37
wgla,3,50,1000,0.5,-1.0,31404.00,8.14
wgla,3,50,1000,0.5,-1.0,32095.83,7.87
wgla,3,50,1000,0.5,-1.0,28759.17,8.78
wgla,3,50,1000,0.5,-1.0,30849.00,8.19
jpaxos,3,50,1000,0.5,-1.0,12215.83,21.13
wgla,3,70,1000,0.5,-1.0,32252.83,13.11
wgla,3,70,1000,0.5,-1.0,32299.50,11.42
wgla,3,70,1000,0.5,-1.0,34301.00,10.41
wgla,3,70,1000,0.5,-1.0,33207.67,10.89
jpaxos,3,70,1000,0.5,-1.0,13705.17,26.26
jpaxos,3,70,1000,0.5,-1.0,13145.33,27.07
jpaxos,3,70,1000,0.5,-1.0,13456.67,26.54
jpaxos,3,70,1000,0.5,-1.0,19021.00,19.23
jpaxos,3,70,1000,0.5,-1.0,13944.17,25.42
wgla,3,100,1000,0.5,-1.0,33944.17,14.87
wgla,3,100,1000,0.5,-1.0,38792.83,12.99
wgla,3,100,1000,0.5,-1.0,38756.17,13.10
wgla,3,100,1000,0.5,-1.0,37908.83,13.41
wgla,3,100,1000,0.5,-1.0,38572.00,13.15
wgla,3,100,1000,0.5,-1.0,35295.50,14.35
wgla,3,100,1000,0.5,-1.0,40269.33,12.64
jpaxos,3,100,1000,0.5,-1.0,16434.00,31.32
